,,ERAWIJANTARI-GASTRIC-CANCER-2020,YACHIDA-CRC-2019,FRANZOSA_IBD_2019,HE_INFANTS_MFGM_2019,JACOBS_IBD_FAMILIES_2016,KANG_AUTISM_2017,KIM_ADENOMAS_2020,KOSTIC_INFANTS_DIABETES_2015,MARS_IBS_2020,POYET_BIO_ML_2019,SINHA_CRC_2016,WANDRO_PRETERMS_2018,WANG_ESRD_2020,iHMP_IBDMDB_2019
,,Shotgun,Shotgun,Shotgun,16S V4,16S V4,16S V2-V3,16S V3-V5,16S V4,Shotgun,WGSS + 16S V4,16S V3-V4,16S V3-V4,Shotgun,Shotgun
ERAWIJANTARI-GASTRIC-CANCER-2020,Shotgun,100,99.81952888,98.4137538,90.87837838,84.28290766,87.88819876,86.2,87.52136752,99.4820442,88.4180791,73.56321839,73.4939759,99.17363222,93.53274884
YACHIDA-CRC-2019,Shotgun,99.81952888,100,98.9164747,90.87837838,84.28290766,87.88819876,86.2,87.52136752,100,88.4180791,73.56321839,73.4939759,98.83504981,99.51521403
FRANZOSA_IBD_2019,Shotgun,98.4137538,98.9164747,100,90.87837838,84.28290766,87.88819876,86.2,87.52136752,99.96546961,88.4180791,73.56321839,73.4939759,98.14009044,99.13357401
HE_INFANTS_MFGM_2019,16S V4,90.87837838,90.87837838,90.87837838,100,82.09459459,65.2027027,73.31081081,91.21621622,89.18918919,65.54054054,59.77011494,40.96385542,90.87837838,90.54054054
JACOBS_IBD_FAMILIES_2016,16S V4,84.28290766,84.28290766,84.28290766,82.09459459,100,85.40372671,70.4,73.87033399,82.12180747,83.61581921,68.96551724,49.39759036,84.28290766,84.08644401
KANG_AUTISM_2017,16S V2-V3,87.88819876,87.88819876,87.88819876,65.2027027,85.40372671,100,81.05590062,80.43478261,87.26708075,72.98136646,59.77011494,30.12048193,87.88819876,87.88819876
KIM_ADENOMAS_2020,16S V3-V5,86.2,86.2,86.2,73.31081081,70.4,81.05590062,100,67.2,83.6,87.00564972,72.4137931,48.19277108,86.2,86.2
KOSTIC_INFANTS_DIABETES_2015,16S V4,87.52136752,87.52136752,87.52136752,91.21621622,73.87033399,80.43478261,67.2,100,80,81.07344633,68.96551724,56.62650602,87.52136752,87.52136752
MARS_IBS_2020,Shotgun,99.4820442,100,99.96546961,89.18918919,82.12180747,87.26708075,83.6,80,100,87.85310734,71.26436782,65.06024096,99.96546961,98.72237569
POYET_BIO_ML_2019,WGSS + 16S V4,88.4180791,88.4180791,88.4180791,65.54054054,83.61581921,72.98136646,87.00564972,81.07344633,87.85310734,100,56.32183908,28.91566265,88.4180791,88.4180791
SINHA_CRC_2016,16S V3-V4,73.56321839,73.56321839,73.56321839,59.77011494,68.96551724,59.77011494,72.4137931,68.96551724,71.26436782,56.32183908,100,22.89156627,73.56321839,73.56321839
WANDRO_PRETERMS_2018,16S V3-V4,73.4939759,73.4939759,73.4939759,40.96385542,49.39759036,30.12048193,48.19277108,56.62650602,65.06024096,28.91566265,22.89156627,100,73.4939759,72.28915663
WANG_ESRD_2020,Shotgun,99.17363222,98.83504981,98.14009044,90.87837838,84.28290766,87.88819876,86.2,87.52136752,99.96546961,88.4180791,73.56321839,73.4939759,100,99.24703455
iHMP_IBDMDB_2019,Shotgun,93.53274884,99.51521403,99.13357401,90.54054054,84.08644401,87.88819876,86.2,87.52136752,98.72237569,88.4180791,73.56321839,72.28915663,99.24703455,100
